Link	Tour Name	Countries	Number of Nights	Difficulty Level	Mileage Average	Mileage Min	Mileage Max	Surface	Number of Loops	Cites/Towns vs. Villages	Attractions	Gold Star	Cost (Euro)	Flag
https://www.biketours.com/austria/danube-bike-path-7-nights/	Danube Bike Path 7 Nights (Classic)													
https://www.biketours.com/austria/danube-passau-vienna-service-plus/	Danube Bike Path 7 Nights (Service Plus)													
https://www.biketours.com/austria/danube-bike-path-upscale-lodging/	Danube Bike Path 8 Nights (Upscale Lodging)													
https://www.biketours.com/austria/dolomites-trieste/	Dolomites to Trieste via Lake Bled at the Foot of the Julian Alps													
https://www.biketours.com/austria/innsbruck-salzburg/	Innsbruck to Salzburg: Through the Alps Along River Cycle Trails													
https://www.biketours.com/austria/lake-constance-bicycle-path/	Lake Constance Bicycle Path													
https://www.biketours.com/austria/salzburg-lakes-tour/	Salzburg Lakes Tour: Ten Lakes in the Foothills of the Alps													
https://www.biketours.com/austria/salzburg-vienna-lakes-option/	Salzburg to Vienna, Lakes Option													
https://www.biketours.com/austria/tauern-bike-path-krimml-passau/	Tauern Bike Path (Krimml-Passau)													
https://www.biketours.com/austria/tauern-bike-path-salzburg/	Tauern Bike Path (Salzburg-Salzburg)													
https://www.biketours.com/austria/vienna-budapest-hungary/ 	Vienna to Budapest (Service Plus)													
https://www.biketours.com/croatia/cycling-istria-wine-roads/	Cycling Istria Wine Roads													
https://www.biketours.com/czech-republic/best-of-south-bohemia/	Best of South Bohemia: Czech Republic to Its Fullest													
https://www.biketours.com/czech-republic/prague-dresden-guided/	Prague to Dresden Along the Vltava and Elbe Rivers													
https://www.biketours.com/france/bordeaux/	Bordeaux Vineyards and Backroads													
https://www.biketours.com/france/burgundy-wine-trails/	Burgundy Wine Trails: Beaune to Macon on the "Voie Verte"													
https://www.biketours.com/france/france-loire-valley/	Loire Valley Chateaux and Gardens Tour													
https://www.biketours.com/hungary/wine-bike-hungarys-balaton-uplands/	Wine and Bike in Hungary's Balaton Uplands													
https://www.biketours.com/ireland/connemara-lazy-days-cycling/	Connemara Lazy Days Cycling													
https://www.biketours.com/ireland/Treasures-of-the-Donegal-Coast/	Treasures of the Donegal Coast	Ireland	7	2	18	13	33	paved shared roads	2	Villages	Donegal castle, coastline, Stone/Bronze Age ruins, monastery	No	730	
https://www.biketours.com/portugal/algarve-coastal-route/	Algarve Coastal Route: From the Spanish Border West Along the Sea	Portugal	7	2	25	19	35	65% quiet roads, 30% dirt tracks	0	Towns/resorts/ village	Moorish architecture, old fort	No	895	
https://www.biketours.com/portugal/camino-de-santiago-porto-santiago-de-compostela/	Camino de Santiago: From Porto to Santiago de Compostela	Portugal, Spain	6	2	25	19	32	Rolling, mountain biking?	0	Large cities/ small towns	UNESCO Santiago de Campostela, Camino de Santiago way, port wine, towers, bridges, cathedral, botanical garden, waterfall	No	1350	Yes?/ No?
https://www.biketours.com/spain/aragon-to-valencia/	Aragon to Valencia: From Ancient Iron Mines to the Mediterranean	Spain	6	2	35	29	42	?longest greenway in Spain/rail-trail, 75% downhill	0	villages, small town, metropolis	UNESCO World Heritage city, castle, 	No	805	
https://www.biketours.com/spain/catalonia-by-bike-path/	Catalonia by Bike Path: Cycling along Via Verde to the Sea	Spain	6	2	19	11	26	70% bike path, 30% dirt track or quiet road	2	small towns, village, city, 	beach, national park, volcanoes	No	664	No
https://www.biketours.com/spain/land-of-the-conquistadors/	Cycling Spain's Land of the Conquistadors													
https://www.biketours.com/spain/medieval-villages-catalonia/	Medieval Villages of Catalonia													
https://www.biketours.com/switzerland/aar-cycle-route/	Aare Cycle Route: Along the Jura, Aare, and Rhine Rivers													
https://www.biketours.com/switzerland/switzerland-rhone-river/	Rhone River Route: Zürich to Geneva													
https://www.biketours.com/italy/taste-italy-emilia-romagna/	A Taste of Italy: Emilia Romagna													
https://www.biketours.com/italy/friuli/	Friuli Regional Tour: Based in Prepotto and Gradisca													
https://www.biketours.com/italy/landscapes-venice/	Landscapes of Venice: Loop Tour of the Veneto Region													
https://www.biketours.com/italy/umbria-green-valleys/	Umbria's Green Valleys From the Pilgrimage Town of Assisi													
https://www.biketours.com/germany/bavaria-bicycling-best-altmuehl-valley/	Cycling the Altmuehl Valley, Round-Trip from Regensburg													
https://www.biketours.com/germany/elbe-river-dresden-magdeburg/	Elbe River: Dresden to Magdeburg													
https://www.biketours.com/germany/main-river-bike-path-bamberg-aschaffenburg/	Main River Bike Path: Bamberg - Aschaffenburg													
https://www.biketours.com/germany/mosel-bike-Tour/	Mosel Bike Path: Dreamy Mosel Valley from Trier to Koblenz													
https://www.biketours.com/germany/munich-bavarian-lakes/	Munich and the Bavarian Lakes													
https://www.biketours.com/germany/rhine-bike-path-mainz-cologne/	Rhine Bike Path: Mainz to Cologne													
https://www.biketours.com/germany/saar-mosel-bike-path/	Saar and Mosel Bike Path													
	Wednesday Start													
https://www.biketours.com/italy/bolzano-venice/	Bolzano to Venice: the Adige and Veneto Regions via Lake Garda													
https://www.biketours.com/italy/bolzano-verona/	Bolzano to Verona: Orchards, Mountains, and Timeless Culture													
https://www.biketours.com/italy/dolomites-venice/	Dolomites to Venice Along the Old Dolomites Railway Track													
https://www.biketours.com/italy/innsbruck-to-bolzano-adige/	Innsbruck to Bolzano (Adige)													
https://www.biketours.com/italy/innsbruck-lake-garda/	Innsbruck to Lake Garda Across the Southern Slopes of the Alps													
https://www.biketours.com/italy/venice-trieste-istria/	Venice to Trieste and Istria													
