	Link	Tour Name	Countries	Number of Nights	Difficulty Level	Mileage Average	Mileage Min	Mileage Max	Surface	Number of Loops	Cites/Towns vs. Villages	Attractions	Gold Star	Cost (Euro)	Flag
0	Mileage Max	Cites/Towns vs. Villages	Surface	Mileage Average	Mileage Min	Flag	Cost	Number of Nights	Link	Tour Name	Countries	Attractions	Number of loops	Gold Star	Difficulty Level
1	https://www.biketours.com/austria/danube-passau-vienna-service-plus/	Danube Bike Path 7 Nights (Service Plus)		7	1	34									
2	https://www.biketours.com/austria/danube-bike-path-upscale-lodging/	Danube Bike Path 8 Nights (Upscale Lodging)		8	1	29									
3	https://www.biketours.com/austria/dolomites-trieste/	Dolomites to Trieste via Lake Bled at the Foot of the Julian Alps		7	2	37									
4	https://www.biketours.com/austria/innsbruck-salzburg/	Innsbruck to Salzburg: Through the Alps Along River Cycle Trails		7	2	31									
5	https://www.biketours.com/austria/lake-constance-bicycle-path/	Lake Constance Bicycle Path		6	2	31									
6	https://www.biketours.com/austria/salzburg-lakes-tour/	Salzburg Lakes Tour: Ten Lakes in the Foothills of the Alps		7	2	30									
7	https://www.biketours.com/austria/salzburg-vienna-lakes-option/	Salzburg to Vienna, Lakes Option		7	2	35									
8	https://www.biketours.com/austria/tauern-bike-path-krimml-passau/	Tauern Bike Path (Krimml-Passau)		7	2	32									
9	https://www.biketours.com/austria/tauern-bike-path-salzburg/	Tauern Bike Path (Salzburg-Salzburg)		7	2	29									
10	https://www.biketours.com/austria/vienna-budapest-hungary/ 	Vienna to Budapest (Service Plus)		7	2	37									
11	https://www.biketours.com/croatia/cycling-istria-wine-roads/	Cycling Istria Wine Roads		7	2	24									
12	https://www.biketours.com/czech-republic/best-of-south-bohemia/	Best of South Bohemia: Czech Republic to Its Fullest		7	2	32									
13	https://www.biketours.com/czech-republic/prague-dresden-guided/	Prague to Dresden Along the Vltava and Elbe Rivers		6	2	29									
14	https://www.biketours.com/france/bordeaux/	Bordeaux Vineyards and Backroads		7	2	26									
15	https://www.biketours.com/france/burgundy-wine-trails/	"Burgundy Wine Trails: Beaune to Macon on the ""Voie Verte"""		6	1	15									
